numero_uai,date_ouverture,date_fermeture,nature_uai,nature_uai_libe
0341231D,1971-03-26,2009-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0341302F,1972-06-12,1980-09-28,151,ECOLE DE NIVEAU ELEMENTAIRE
0341383U,1974-05-13,1989-06-29,101,ECOLE MATERNELLE
0341447N,1976-05-20,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0341455X,1976-09-29,2006-08-31,340,COLLEGE
0341522V,1980-09-01,1982-08-31,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE
0341574B,1982-09-13,1985-08-31,320,LYCEE PROFESSIONNEL
0341578F,1983-09-01,1998-08-31,101,ECOLE MATERNELLE
0341616X,1984-09-01,1986-08-31,302,LYCEE D ENSEIGNEMENT GENERAL
0341644C,1985-09-06,2000-08-31,101,ECOLE MATERNELLE
0341875D,1993-09-01,2021-08-31,101,ECOLE MATERNELLE
0341900F,1993-09-01,2000-08-31,336,SECTION ENSEIGNT TECHNO (1ER CYCLE)
0342013D,1997-09-01,2000-08-31,320,LYCEE PROFESSIONNEL
0342030X,1999-09-01,2004-08-31,101,ECOLE MATERNELLE
0342044M,2000-09-01,2003-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0342126B,1976-09-01,2006-08-31,302,LYCEE D ENSEIGNEMENT GENERAL
0342148A,2004-09-01,2005-08-31,334,SECTION D ENSEIGNEMENT PROFESSIONNEL
0342191X,2006-09-01,2008-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0342192Y,2006-09-01,2008-08-31,101,ECOLE MATERNELLE
0342212V,2007-09-01,2013-08-31,101,ECOLE MATERNELLE
0342228M,2008-09-01,2020-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0342280U,2011-09-01,2016-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0342357C,2015-09-01,2019-08-31,320,LYCEE PROFESSIONNEL
0342387K,2017-09-01,2021-08-31,340,COLLEGE
0350060A,1965-10-11,2005-08-31,320,LYCEE PROFESSIONNEL
0350117M,1965-10-01,1997-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0350120R,1965-10-01,2009-08-31,101,ECOLE MATERNELLE
0350138K,1965-10-01,1997-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0350277L,1965-10-01,1994-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0350292C,1965-10-01,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0350318F,1965-10-01,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0350320H,1965-10-01,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0350324M,1965-10-01,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0350328S,1965-10-01,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0350329T,1965-10-01,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0350333X,1965-10-01,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0350355W,1965-10-01,1986-08-31,101,ECOLE MATERNELLE
0350415L,1965-10-01,1993-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0350482J,1965-10-01,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0350530L,1965-10-01,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0350610Y,1965-10-01,1984-08-31,152,ECOLE ELEMENTAIRE ANNEXE D INSPE
0350634Z,1965-10-01,2003-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0350636B,1965-10-01,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0350645L,1965-10-01,1992-08-31,101,ECOLE MATERNELLE
0350666J,1965-10-01,2004-08-31,101,ECOLE MATERNELLE
0350711H,1966-11-08,2004-08-31,101,ECOLE MATERNELLE
0350712J,1966-11-08,2003-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0350713K,1966-11-08,1980-10-05,151,ECOLE DE NIVEAU ELEMENTAIRE
0350716N,1966-10-26,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0350824F,1968-03-12,1983-08-31,320,LYCEE PROFESSIONNEL
0350908X,1968-10-07,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0350943K,1969-08-22,1993-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0350946N,1969-08-22,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0350955Y,1969-10-13,1995-08-31,101,ECOLE MATERNELLE
0351030E,1970-06-01,2007-08-31,101,ECOLE MATERNELLE
0351055G,1971-03-18,1980-08-31,101,ECOLE MATERNELLE
0351082L,1971-03-18,1981-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351101G,1971-03-18,1986-09-02,151,ECOLE DE NIVEAU ELEMENTAIRE
0351113V,1971-03-18,1981-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351123F,1971-03-18,1998-08-31,101,ECOLE MATERNELLE
0351128L,1971-03-18,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351160W,1971-03-18,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351163Z,1971-03-18,1982-06-30,151,ECOLE DE NIVEAU ELEMENTAIRE
0351174L,1971-03-18,1987-06-30,151,ECOLE DE NIVEAU ELEMENTAIRE
0351180T,1971-03-18,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351209Z,1971-03-18,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
