Code INSEE,Type local,Valeur fonciere
02209,Maison,142550.0
02210,Maison,112450.0
02211,Maison,130333.33333333333
02212,Maison,118000.0
02213,Maison,160270.0
02215,Maison,152433.33333333334
02216,Maison,201050.0
02217,Maison,134210.88235294117
02218,Maison,119633.33333333333
02220,Appartement,190000.0
02220,Maison,237050.0
02223,Maison,99650.0
02224,Maison,140780.0
02225,Maison,149857.14285714287
02226,Maison,172150.0
02227,Maison,142000.0
02228,Maison,152333.33333333334
02231,Maison,89038.88888888889
02232,Maison,267680.0
02233,Maison,88333.33333333333
02235,Maison,226000.0
02236,Maison,128200.0
02237,Maison,97167.85714285714
02238,Appartement,60000.0
02238,Maison,128200.0
02239,Appartement,190000.0
02239,Maison,149708.33333333334
02240,Maison,93000.0
02241,Maison,233195.0
02242,Maison,142600.0
02243,Appartement,108371.3
02243,Maison,157689.2
02245,Appartement,118300.0
02245,Maison,199791.88888888888
02246,Maison,94333.33333333333
02248,Maison,185600.0
02249,Maison,178510.0
02250,Maison,40950.0
02251,Maison,50000.0
02253,Maison,140750.0
02254,Maison,200000.0
02255,Maison,149000.0
02257,Maison,272000.0
02258,Maison,309690.0
02259,Maison,292222.22222222225
02260,Maison,80440.0
02261,Maison,126041.66666666667
02262,Maison,196300.0
02263,Maison,112500.0
02264,Maison,75937.5
02265,Maison,145000.0
02266,Maison,27000.0
02267,Maison,160500.0
02268,Maison,175666.66666666666
02270,Maison,75000.0
02271,Maison,624056.6666666666
02272,Maison,73000.0
02274,Maison,101960.0
02275,Maison,70333.33333333333
02276,Maison,84500.0
02277,Maison,153428.57142857142
02279,Maison,156144.53846153847
02280,Maison,180500.0
02281,Maison,171916.66666666666
02282,Maison,215350.0
02283,Maison,55000.0
02284,Maison,83833.33333333333
02286,Maison,110639.27272727272
02287,Appartement,230000.0
02287,Maison,177861.11111111112
02288,Maison,101125.0
02289,Maison,181100.0
02290,Appartement,196500.0
02290,Maison,158610.5
02291,Maison,105435.23714285715
02292,Appartement,75000.0
02292,Maison,188724.48416666666
02293,Maison,85875.0
02294,Maison,112000.0
02295,Appartement,160000.0
02295,Maison,66680.0
02296,Maison,144918.18181818182
02297,Maison,115000.0
02298,Maison,84518.63636363637
02299,Maison,134700.0
02302,Maison,183265.625
02303,Maison,372920.0
02304,Appartement,114934.28571428571
02304,Maison,78138.33333333333
02305,Appartement,70000.0
02305,Maison,122375.66071428571
02306,Maison,86977.77777777778
02307,Appartement,132000.0
02307,Maison,215890.0
02308,Maison,142717.02857142856
02309,Appartement,117000.0
02309,Maison,131366.66666666666
02310,Maison,132000.0
02312,Maison,94053.09090909091
02313,Maison,129192.30769230769
02315,Maison,118321.73913043478
02316,Maison,278000.0
02317,Maison,88500.0
02318,Maison,136788.63636363635
02319,Maison,61640.0
02320,Maison,82000.0
02321,Maison,171429.41176470587
02322,Maison,110333.33333333333
02323,Maison,182750.0
02324,Maison,125250.0
02326,Maison,149500.0
02327,Maison,134425.0
02328,Maison,212716.66666666666
02329,Maison,88250.0
02330,Maison,292250.0
02331,Maison,102500.0
02332,Maison,132333.33333333334
02333,Maison,76500.0
02334,Appartement,104250.0
02334,Maison,114202.33333333333
02335,Maison,96000.0
02336,Maison,141037.5
02337,Maison,45000.0
02338,Maison,63973.75
02339,Appartement,88000.0
02339,Maison,151722.22222222222
02340,Appartement,80000.0
02340,Maison,114528.40178571429
02341,Maison,50000.0
02342,Maison,165000.0
02343,Maison,77000.0
02346,Maison,155087.5
02347,Maison,196333.33333333334
02349,Maison,165000.0
02350,Maison,167022.5
02351,Maison,135000.0
02352,Maison,139840.0
02353,Maison,48333.333333333336
02354,Maison,123850.0
02355,Maison,147335.0
02356,Maison,148500.0
02357,Maison,149000.0
02358,Maison,107580.0
02359,Appartement,59125.0
